Experiment	STML
9.266677475e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.2414343500000004e-08	113700000	13.0	677.5795232789003
9.176464699999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.1821483e-08	114000000	14.0	678.0030639371423
-5.743145554999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.1125255249999996e-08	114300000	25.0	678.42659544047
1.174868075e-11	1.0	2.8620942e-08	-3.1165595e-08	7.7455191e-08	114600000	29.0	678.8501177832188
1.2027809999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.3888510500000005e-08	114900000	29.0	679.2736309597233
1.067213125e-11	1.0	2.8620942e-08	-3.1165595e-08	2.7981606e-08	115200000	21.0	679.6971349643196
9.490969000000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.0287637499999996e-09	115500000	26.0	680.1206297913435
9.20993335e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.04078265e-08	115800000	23.0	680.5441154351314
9.24964925e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.97903815e-08	116100000	21.0	680.9675918900201
-5.696668745e-11	1.0	2.8620942e-08	-3.1165595e-08	2.44041198e-08	116400000	47.0	681.3910591503469
1.03694767e-11	1.0	2.8620942e-08	-3.1165595e-08	8.02527165e-08	116700000	30.0	681.8145172104491
1.2110967749999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.691576725e-08	117000000	20.0	682.237966064665
1.0662279400000001e-11	1.0	2.8620942e-08	-3.1165595e-08	3.17540015e-08	117300000	21.0	682.6614057073318
9.56307535e-12	1.0	2.8620942e-08	-3.1165595e-08	2.9135022149999995e-09	117600000	24.0	683.0848361327894
9.25864335e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.643129125e-08	117900000	46.0	683.5082573353765
9.221092e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.58449605e-08	118200000	24.0	683.9316693094319
-5.567111075000001e-11	1.0	2.8620942e-08	-3.1165595e-08	1.8575644499999998e-08	118500000	39.0	684.3550720492957
9.70560095e-12	1.0	2.8620942e-08	-3.1165595e-08	8.148861499999999e-08	118800000	13.0	684.7784655493084
1.2129109750000001e-11	1.0	2.8620942e-08	-3.1165595e-08	5.8424876249999997e-08	119100000	37.0	685.2018498038096
1.0702658950000001e-11	1.0	2.8620942e-08	-3.1165595e-08	3.31578925e-08	119400000	28.0	685.6252248071412
9.570025475e-12	1.0	2.8620942e-08	-3.1165595e-08	4.2751576125e-09	119700000	18.0	686.0485905536433
9.2728466e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.5070238250000003e-08	120000000	23.0	686.4719470376587
9.266764875e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.4474472249999994e-08	120300000	26.0	686.8952942535286
-5.529140882499999e-11	1.0	2.8620942e-08	-3.1165595e-08	7.944498500000003e-09	120600000	22.0	687.3186321955957
9.17900765e-12	1.0	2.8620942e-08	-3.1165595e-08	8.251626775e-08	120900000	25.0	687.7419608582021
1.214436475e-11	1.0	2.8620942e-08	-3.1165595e-08	5.977132825e-08	121200000	30.0	688.165280235692
1.120054775e-11	1.0	2.8620942e-08	-3.1165595e-08	3.4973479750000005e-08	121500000	36.0	688.5885903224076
9.65081075e-12	1.0	2.8620942e-08	-3.1165595e-08	6.328231399999999e-09	121800000	23.0	689.0118911126941
9.213643974999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.3000115749999997e-08	122100000	34.0	689.4351826008949
9.257301725000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.2403900999999996e-08	122400000	22.0	689.8584647813548
-5.536319250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	-1.3957699025000004e-08	122700000	50.0	690.281737648419
7.923890175000001e-12	1.0	2.8620942e-08	-3.1165595e-08	8.4803311e-08	123000000	35.0	690.7050011964326
1.21370775e-11	1.0	2.8620942e-08	-3.1165595e-08	6.320483975e-08	123300000	20.0	691.1282554197414
1.1399459999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	3.885997625e-08	123600000	38.0	691.5515003126916
9.7583928e-12	1.0	2.8620942e-08	-3.1165595e-08	1.05748500375e-08	123900000	36.0	691.9747358696297
9.27655175e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.87024614e-08	124200000	39.0	692.397962084903
9.222849025e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.8092330000000004e-08	124500000	26.0	692.8211789528578
-5.438630652499999e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.399995725e-08	124800000	38.0	693.2443864678428
7.551855175e-12	1.0	2.8620942e-08	-3.1165595e-08	8.543969625e-08	125100000	30.0	693.6675846242055
1.213955875e-11	1.0	2.8620942e-08	-3.1165595e-08	6.4308365e-08	125400000	44.0	694.0907734162938
1.1106245499999998e-11	1.0	2.8620942e-08	-3.1165595e-08	3.9987726999999996e-08	125700000	49.0	694.5139528384574
9.70265165e-12	1.0	2.8620942e-08	-3.1165595e-08	1.169813901e-08	126000000	31.0	694.9371228850454
9.280041575e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.7620734e-08	126300000	45.0	695.3602835504066
9.287543825000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.7012020000000004e-08	126600000	43.0	695.783434828892
-5.418631135e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.2116083999999995e-08	126900000	27.0	696.206576714851
7.688715025e-12	1.0	2.8620942e-08	-3.1165595e-08	8.570928825e-08	127200000	40.0	696.6297092026349
1.2129581999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	6.482064125e-08	127500000	18.0	697.052832286594
1.16226645e-11	1.0	2.8620942e-08	-3.1165595e-08	4.079867025e-08	127800000	30.0	697.4759459610814
9.868114075e-12	1.0	2.8620942e-08	-3.1165595e-08	1.289010035e-08	128100000	61.0	697.8990502204471
9.24559215e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.638881815e-08	128400000	30.0	698.3221450590446
9.2461867e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.5810207249999995e-08	128700000	24.0	698.7452304712253
-5.3562470025e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.9675037499999996e-08	129000000	31.0	699.1683064513436
7.0926952e-12	1.0	2.8620942e-08	-3.1165595e-08	8.6262981e-08	129300000	52.0	699.5913729937523
1.2141542000000001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.5922693e-08	129600000	40.0	700.014430092805
1.12105155e-11	1.0	2.8620942e-08	-3.1165595e-08	4.1589021e-08	129900000	29.0	700.4374777428565
9.7173133e-12	1.0	2.8620942e-08	-3.1165595e-08	1.330769705e-08	130200000	25.0	700.8605159382602
9.226511925e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.6016535399999998e-08	130500000	48.0	701.2835446733723
9.2594918e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.5439955e-08	130800000	19.0	701.7065639425476
-5.3920418125e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.02827485e-08	131100000	30.0	702.1295737401416
6.138059125e-12	1.0	2.8620942e-08	-3.1165595e-08	8.74003965e-08	131400000	29.0	702.5525740605107
1.21832425e-11	1.0	2.8620942e-08	-3.1165595e-08	6.8620178e-08	131700000	53.0	702.9755648980118
1.1578081000000001e-11	1.0	2.8620942e-08	-3.1165595e-08	4.4829999249999996e-08	132000000	16.0	703.3985462470009
9.998661199999999e-12	1.0	2.8620942e-08	-3.1165595e-08	1.7536956574999997e-08	132300000	21.0	703.8215181018355
9.257997575e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.1692555014999999e-08	132600000	29.0	704.2444804568742
9.190202875e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.110427525e-08	132900000	29.0	704.667433306474
9.239485275000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-7.050960175e-08	133200000	19.0	705.0903766449939
-5.9870848725e-11	1.0	2.8620942e-08	-3.1165595e-08	8.797944425e-08	133500000	21.0	705.5133104667922
8.50833091e-12	1.0	2.8620942e-08	-3.1165595e-08	8.297325325e-08	133800000	24.0	705.9362347662287
1.212102175e-11	1.0	2.8620942e-08	-3.1165595e-08	6.0392189e-08	134100000	30.0	706.3591495376628
1.089196025e-11	1.0	2.8620942e-08	-3.1165595e-08	3.5159876250000006e-08	134400000	-1.0	706.7820547754549
9.533822725e-12	1.0	2.8620942e-08	-3.1165595e-08	6.292980775e-09	134700000	40.0	707.2049504739646
9.248078625e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.3074731e-08	135000000	29.0	707.6278366275535
9.174035875e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.24728305e-08	135300000	30.0	708.0507132305821
-5.5029503074999995e-11	1.0	2.8620942e-08	-3.1165595e-08	-6.961571750000005e-09	135600000	10.0	708.4735802774127
8.4035867e-12	1.0	2.8620942e-08	-3.1165595e-08	8.406130725e-08	135900000	30.0	708.8964377624071
1.2136514e-11	1.0	2.8620942e-08	-3.1165595e-08	6.200017225e-08	136200000	1862.0	709.3192856799272
1.1297864499999999e-11	1.0	2.8620942e-08	-3.1165595e-08	3.7639525249999997e-08	136500000	2638.0	709.7421240243362
9.756824049999999e-12	1.0	2.8620942e-08	-3.1165595e-08	9.331735774999999e-09	136800000	31.0	710.1649527899979
9.249690424999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.99585903e-08	137100000	34.0	710.5877719712743
9.300142925e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.934951800000001e-08	137400000	25.0	711.0105815625308
-5.486282247499999e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.7607399749999998e-08	137700000	33.0	711.4333815581309
7.37730695e-12	1.0	2.8620942e-08	-3.1165595e-08	8.5790619e-08	138000000	30.0	711.8561719524397
1.213533375e-11	1.0	2.8620942e-08	-3.1165595e-08	6.4975251e-08	138300000	31.0	712.2789527398226
1.138077975e-11	1.0	2.8620942e-08	-3.1165595e-08	4.0862004499999995e-08	138600000	25.0	712.7017239146446
9.854846849999998e-12	1.0	2.8620942e-08	-3.1165595e-08	1.283852295e-08	138900000	33.0	713.1244854712716
9.250182625e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.643108785e-08	139200000	38.0	713.5472374040708
9.271869974999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.581870325e-08	139500000	34.0	713.9699797074085
-5.4151853225e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.589759975e-08	139800000	36.0	714.3927123756514
7.6249571e-12	1.0	2.8620942e-08	-3.1165595e-08	8.590745175e-08	140100000	47.0	714.8154354031677
1.2148e-11	1.0	2.8620942e-08	-3.1165595e-08	6.52226805e-08	140400000	25.0	715.2381487843252
1.147646625e-11	1.0	2.8620942e-08	-3.1165595e-08	4.1094049999999993e-08	140700000	24.0	715.6608525134918
9.8519797e-12	1.0	2.8620942e-08	-3.1165595e-08	1.3050141200000001e-08	141000000	33.0	716.0835465850369
9.2483202e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.6225405225e-08	141300000	18.0	716.5062309933287
9.2359371e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.5629598e-08	141600000	25.0	716.9289057327381
-5.4298641775e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.665163e-08	141900000	25.0	717.3515707976338
6.7451136e-12	1.0	2.8620942e-08	-3.1165595e-08	8.72007765e-08	142200000	18.0	717.7742261823872
1.2165296249999999e-11	1.0	2.8620942e-08	-3.1165595e-08	6.8080693e-08	142500000	41.0	718.1968718813681
1.148001825e-11	1.0	2.8620942e-08	-3.1165595e-08	4.420159175e-08	142800000	29.0	718.6195078889483
9.9352596e-12	1.0	2.8620942e-08	-3.1165595e-08	1.6615386625e-08	143100000	32.0	719.0421341994991
9.271465525000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.2621482674999999e-08	143400000	23.0	719.464750807393
9.285057099999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.202358025e-08	143700000	22.0	719.8873577070012
-5.900807385e-11	1.0	2.8620942e-08	-3.1165595e-08	-6.693779750000001e-08	144000000	39.0	720.309954892698
1.0828098575e-11	1.0	2.8620942e-08	-3.1165595e-08	8.818758875e-08	144300000	32.0	720.7325423588551
1.224157675e-11	1.0	2.8620942e-08	-3.1165595e-08	7.112371875000001e-08	144600000	21.0	721.1551200998472
1.18293305e-11	1.0	2.8620942e-08	-3.1165595e-08	4.73811355e-08	144900000	34.0	721.5776881100478
1.0095516225e-11	1.0	2.8620942e-08	-3.1165595e-08	2.0197345374999998e-08	145200000	30.0	722.0002463838312
9.315386149999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-8.995109425e-09	145500000	48.0	722.4227949155722
9.25946235e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.837084625e-08	145800000	29.0	722.8453336996462
9.218327925e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.7787957e-08	146100000	49.0	723.2678627304293
-5.7434158400000005e-11	1.0	2.8620942e-08	-3.1165595e-08	8.211601e-08	146400000	22.0	723.6903820022962
1.23249855e-11	1.0	2.8620942e-08	-3.1165595e-08	7.269685825e-08	146700000	40.0	724.1128915096248
1.1855764e-11	1.0	2.8620942e-08	-3.1165595e-08	4.9092296500000004e-08	147000000	30.0	724.5353912467912
1.042545275e-11	1.0	2.8620942e-08	-3.1165595e-08	2.2701024e-08	147300000	30.0	724.9578812081726
9.323750725e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.4217987e-09	147600000	22.0	725.3803613881468
9.234678974999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.579467625e-08	147900000	20.0	725.802831781092
9.202501400000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.520097524999999e-08	148200000	37.0	726.2252923813861
-5.844198935e-11	1.0	2.8620942e-08	-3.1165595e-08	5.9395082999999994e-08	148500000	45.0	726.6477431834088
1.25499905e-11	1.0	2.8620942e-08	-3.1165595e-08	7.577454025e-08	148800000	28.0	727.0701841815389
1.191458425e-11	1.0	2.8620942e-08	-3.1165595e-08	5.220768275e-08	149100000	31.0	727.4926153701566
1.04564175e-11	1.0	2.8620942e-08	-3.1165595e-08	2.60181195e-08	149400000	14.0	727.9150367436416
9.426329075e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.061815185e-09	149700000	40.0	728.3374482963742
9.2741238e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.243957e-08	150000000	18.0	728.7598500227355
9.21377925e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.1829665e-08	150300000	79.0	729.1822419171071
-5.7237517825e-11	1.0	2.8620942e-08	-3.1165595e-08	3.66810005e-08	150600000	5514.0	729.6046239738711
1.099814605e-11	1.0	2.8620942e-08	-3.1165595e-08	7.904407975e-08	150900000	3047.0	730.0269961874088
1.2032934999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.556188025000001e-08	151200000	54.0	730.4493585521033
1.061120525e-11	1.0	2.8620942e-08	-3.1165595e-08	2.9600618499999997e-08	151500000	33.0	730.8717110623376
9.494979675e-12	1.0	2.8620942e-08	-3.1165595e-08	5.719466750000009e-10	151800000	24.0	731.2940537124954
9.211394625e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.88000685e-08	152100000	25.0	731.7163864969597
9.224901649999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.8209837750000003e-08	152400000	19.0	732.1387094101151
-5.640301249999999e-11	1.0	2.8620942e-08	-3.1165595e-08	1.5203173999999996e-08	152700000	28.0	732.5610224463468
9.492397325e-12	1.0	2.8620942e-08	-3.1165595e-08	8.193124575e-08	153000000	23.0	732.9833256000396
1.214109825e-11	1.0	2.8620942e-08	-3.1165595e-08	5.9003888e-08	153300000	34.0	733.4056188655787
1.0774239e-11	1.0	2.8620942e-08	-3.1165595e-08	3.427022875e-08	153600000	17.0	733.8279022373503
9.620790699999999e-12	1.0	2.8620942e-08	-3.1165595e-08	5.61915055e-09	153900000	27.0	734.2501757097409
9.2714508e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.37293955e-08	154200000	45.0	734.6724392771365
9.22288765e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.312371875e-08	154500000	24.0	735.0946929339249
-5.534701447499999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.515387249999999e-09	154800000	26.0	735.5169366744936
9.0541664e-12	1.0	2.8620942e-08	-3.1165595e-08	8.285291925e-08	155100000	46.0	735.9391704932306
1.21324825e-11	1.0	2.8620942e-08	-3.1165595e-08	6.023357525e-08	155400000	22.0	736.3613943845241
1.1157611e-11	1.0	2.8620942e-08	-3.1165595e-08	3.582852425e-08	155700000	40.0	736.7836083427634
9.71846205e-12	1.0	2.8620942e-08	-3.1165595e-08	7.472606575e-09	156000000	42.0	737.2058123623375
9.255189725e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.182025025e-08	156300000	28.0	737.6280064376358
9.2169317e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.1232709750000005e-08	156600000	27.0	738.0501905630492
-5.5102663975000006e-11	1.0	2.8620942e-08	-3.1165595e-08	-1.634402735e-08	156900000	32.0	738.4723647329669
7.6137545e-12	1.0	2.8620942e-08	-3.1165595e-08	8.517412575e-08	157200000	10.0	738.8945289417811
1.2129876999999998e-11	1.0	2.8620942e-08	-3.1165595e-08	6.384421875000001e-08	157500000	25.0	739.3166831838823
1.1307474499999999e-11	1.0	2.8620942e-08	-3.1165595e-08	3.96344925e-08	157800000	40.0	739.7388274536631
9.75198115e-12	1.0	2.8620942e-08	-3.1165595e-08	1.1460077292500001e-08	158100000	41.0	740.1609617455148
9.22704145e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.7836842575e-08	158400000	13.0	740.5830860538309
9.261148275e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.7199214249999994e-08	158700000	34.0	741.0052003730043
-5.4452051975e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.7370979e-08	159000000	37.0	741.4273046974278
7.0553864749999995e-12	1.0	2.8620942e-08	-3.1165595e-08	8.644367524999999e-08	159300000	36.0	741.8493990214959
1.213850875e-11	1.0	2.8620942e-08	-3.1165595e-08	6.631118825e-08	159600000	36.0	742.271483339602
1.16154695e-11	1.0	2.8620942e-08	-3.1165595e-08	4.217102675e-08	159900000	44.0	742.6935576461425
9.857952375e-12	1.0	2.8620942e-08	-3.1165595e-08	1.4123875525e-08	160200000	54.0	743.1156219355111
9.2748203e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.51408168e-08	160500000	20.0	743.5376762021044
9.238807875e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.45415795e-08	160800000	38.0	743.9597204403178
-5.553428937499999e-11	1.0	2.8620942e-08	-3.1165595e-08	-5.9068368e-08	161100000	33.0	744.3817546445479
7.1076651e-12	1.0	2.8620942e-08	-3.1165595e-08	8.779966975e-08	161400000	42.0	744.8037788091914
1.2204524749999998e-11	1.0	2.8620942e-08	-3.1165595e-08	6.9789003e-08	161700000	40.0	745.2257929286459
1.177987275e-11	1.0	2.8620942e-08	-3.1165595e-08	4.60319035e-08	162000000	27.0	745.647796997309
9.967901950000001e-12	1.0	2.8620942e-08	-3.1165595e-08	1.874771745e-08	162300000	37.0	746.0697910095789
9.2486357e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.047118047e-08	162600000	25.0	746.4917749598543
9.231424e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.9886624000000004e-08	162900000	21.0	746.9137488425338
-5.8123795199999996e-11	1.0	2.8620942e-08	-3.1165595e-08	-6.490242725e-08	163200000	27.0	747.3357126520175
1.0601255525e-11	1.0	2.8620942e-08	-3.1165595e-08	8.817526625e-08	163500000	14.0	747.7576663827042
1.2237547e-11	1.0	2.8620942e-08	-3.1165595e-08	7.10857435e-08	163800000	35.0	748.1796100289951
1.1760564750000001e-11	1.0	2.8620942e-08	-3.1165595e-08	4.73596655e-08	164100000	25.0	748.6015435852908
1.0054255125e-11	1.0	2.8620942e-08	-3.1165595e-08	2.0252445500000003e-08	164400000	4.0	749.0234670459924
9.26587645e-12	1.0	2.8620942e-08	-3.1165595e-08	-8.954121125000001e-09	164700000	40.0	749.4453804055009
9.26640425e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.83484e-08	165000000	21.0	749.8672836582192
9.14926425e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.77778065e-08	165300000	35.0	750.2891767985494
-5.7144710025e-11	1.0	2.8620942e-08	-3.1165595e-08	8.213035949999999e-08	165600000	18.0	750.7110598208944
1.2322632249999998e-11	1.0	2.8620942e-08	-3.1165595e-08	7.27710675e-08	165900000	12.0	751.132932719657
1.193971775e-11	1.0	2.8620942e-08	-3.1165595e-08	4.911283475e-08	166200000	41.0	751.5547954892418
1.0250120525000001e-11	1.0	2.8620942e-08	-3.1165595e-08	2.2260790499999998e-08	166500000	16.0	751.9766481240528
9.299426025e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.88932665e-09	166800000	17.0	752.3984906184937
9.2249201e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.62846975e-08	167100000	33.0	752.8203229669703
9.192160275e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.5699579e-08	167400000	19.0	753.2421451638883
-5.825294987500001e-11	1.0	2.8620942e-08	-3.1165595e-08	5.892860075e-08	167700000	25.0	753.663957203653
1.2445994500000001e-11	1.0	2.8620942e-08	-3.1165595e-08	7.60172815e-08	168000000	22.0	754.0857590806709
1.184996675e-11	1.0	2.8620942e-08	-3.1165595e-08	5.24494155e-08	168300000	20.0	754.5075507893496
1.0343473999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	2.6106474000000004e-08	168600000	15.0	754.9293323240947
9.516695175000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.9638242025000003e-09	168900000	21.0	755.3511036793152
9.287903575e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.22661885e-08	169200000	17.0	755.7728648494185
9.172654175e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.16643385e-08	169500000	33.0	756.1946158288135
-5.746912230000001e-11	1.0	2.8620942e-08	-3.1165595e-08	4.883533925e-08	169800000	31.0	756.6163566119088
1.132917495e-11	1.0	2.8620942e-08	-3.1165595e-08	7.8331018e-08	170100000	48.0	757.0380871931142
1.2085350999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.480118674999999e-08	170400000	5.0	757.4598075668393
1.0680279e-11	1.0	2.8620942e-08	-3.1165595e-08	2.9263985249999996e-08	170700000	27.0	757.8815177274942
9.54333315e-12	1.0	2.8620942e-08	-3.1165595e-08	3.3438359999999974e-10	171000000	15.0	758.3032176694896
9.230401375e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.901993275e-08	171300000	18.0	758.7249073872371
9.228057775000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.8427517249999995e-08	171600000	10.0	759.1465868751476
-5.6511928700000006e-11	1.0	2.8620942e-08	-3.1165595e-08	2.6485041925e-08	171900000	21.0	759.5682561276341
1.0426346549999999e-11	1.0	2.8620942e-08	-3.1165595e-08	8.022308325e-08	172200000	34.0	759.989915139108
1.211829375e-11	1.0	2.8620942e-08	-3.1165595e-08	5.69046515e-08	172500000	43.0	760.4115639039825
1.0811184775e-11	1.0	2.8620942e-08	-3.1165595e-08	3.146512825e-08	172800000	31.0	760.8332024166716
9.641907924999999e-12	1.0	2.8620942e-08	-3.1165595e-08	2.546041625e-09	173100000	26.0	761.2548306715879
9.248215675e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.676796775e-08	173400000	39.0	761.6764486631471
9.236383574999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.61752815e-08	173700000	28.0	762.0980563857623
-5.605096600000001e-11	1.0	2.8620942e-08	-3.1165595e-08	1.6876101249999995e-08	174000000	6.0	762.5196538338497
9.724255425e-12	1.0	2.8620942e-08	-3.1165595e-08	8.144369275000001e-08	174300000	20.0	762.9412410018244
1.214725175e-11	1.0	2.8620942e-08	-3.1165595e-08	5.83816045e-08	174600000	31.0	763.3628178841024
1.0956762e-11	1.0	2.8620942e-08	-3.1165595e-08	3.35795125e-08	174900000	31.0	763.7843844751003
9.595686875e-12	1.0	2.8620942e-08	-3.1165595e-08	4.886320099999999e-09	175200000	26.0	764.2059407692348
9.244671e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.443662925e-08	175500000	23.0	764.6274867609234
9.214072e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.3849608999999994e-08	175800000	50.0	765.0490224445836
-5.5227069325e-11	1.0	2.8620942e-08	-3.1165595e-08	7.856023499999994e-09	176100000	37.0	765.470547814634
9.098671875e-12	1.0	2.8620942e-08	-3.1165595e-08	8.255738125e-08	176400000	36.0	765.8920628654923
1.214430825e-11	1.0	2.8620942e-08	-3.1165595e-08	5.9825356e-08	176700000	18.0	766.3135675915789
1.090046125e-11	1.0	2.8620942e-08	-3.1165595e-08	3.4893851e-08	177000000	31.0	766.735061987313
9.519816549999999e-12	1.0	2.8620942e-08	-3.1165595e-08	6.129380075e-09	177300000	6.0	767.1565460471138
9.23132685e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.3216504e-08	177600000	10.0	767.5780197654021
9.242916125e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.261989975e-08	177900000	20.0	767.9994831365992
-5.5028618175e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.919803000000005e-09	178200000	25.0	768.4209361551261
8.5546838e-12	1.0	2.8620942e-08	-3.1165595e-08	8.386606075e-08	178500000	14.0	768.8423788154042
1.212699275e-11	1.0	2.8620942e-08	-3.1165595e-08	6.170128125e-08	178800000	22.0	769.2638111118566
1.1024334750000001e-11	1.0	2.8620942e-08	-3.1165595e-08	3.710047625e-08	179100000	14.0	769.6852330389056
9.63260785e-12	1.0	2.8620942e-08	-3.1165595e-08	8.554278825e-09	179400000	24.0	770.1066445909736
9.24739085e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.0787131225e-08	179700000	18.0	770.5280457624852
9.20435105e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.0194328749999994e-08	180000000	22.0	770.9494365478638
-5.475056622500001e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.5473799999999996e-08	180300000	24.0	771.3708169415346
7.671002725e-12	1.0	2.8620942e-08	-3.1165595e-08	8.546196825e-08	180600000	34.0	771.7921869379211
1.214228925e-11	1.0	2.8620942e-08	-3.1165595e-08	6.437099375e-08	180900000	22.0	772.2135465314499
1.1235380999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	4.0065008e-08	181200000	18.0	772.6348957165463
9.804900450000001e-12	1.0	2.8620942e-08	-3.1165595e-08	1.1805977990000001e-08	181500000	11.0	773.0562344876369
9.2619868e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.7478022975e-08	181800000	29.0	773.4775628391477
9.211458424999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.6892107999999995e-08	182100000	54.0	773.8988807655068
-5.3987195074999996e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.28359455e-08	182400000	18.0	774.320188261141
6.6995525749999995e-12	1.0	2.8620942e-08	-3.1165595e-08	8.660034275e-08	182700000	41.0	774.7414853204789
1.2154519250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.664619175000001e-08	183000000	14.0	775.1627719379487
1.1491143999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	4.2560471749999996e-08	183300000	15.0	775.5840481079798
9.833703849999999e-12	1.0	2.8620942e-08	-3.1165595e-08	1.4601725675e-08	183600000	22.0	776.0053138250015
9.271938475e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.4663449600000001e-08	183900000	22.0	776.426569083443
9.252701675e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.40515935e-08	184200000	27.0	776.8478138777358
